category,cluster_id,size,top_terms,suggested_name
Appliances,0,186,"ice, ice maker, months, unit, maker, water, warranty, machine, just, refrigerator",
Appliances,1,173,"work, didn, return, returned, product, didn work, item, received, refund, box",
Appliances,2,190,"months, year, working, broke, lasted, stopped, month, use, years, bought",
Appliances,3,186,"dryer, washer, clothes, water, wash, machine, like, washing, just, cycle",
Appliances,4,212,"fit, did fit, did, didn fit, does fit, stove, didn, does, model, doesn fit",
Appliances,5,203,"work, stove, does, doesn, door, broken, handle, plastic, replacement, product",
Appliances,6,157,"stove, don, big, stay, fit, did, easily, size, clean, just",
Appliances,7,218,"filter, water, filters, taste, refrigerator, buy, just, does, brand, doesn",
Appliances,8,294,"coffee, cup, grounds, keurig, filters, filter, work, cups, use, machine",
Appliances,9,246,"money, waste, product, waste money, junk, piece, just, don, time, buy",
Gift_Cards,0,139,"use, work, did, money, amazon, buy, did work, didn, didn work, item",
Gift_Cards,1,251,"card, gift, cards, gift card, amazon, buy, gift cards, use, money, time",
Gift_Cards,2,218,"gift, card, box, gift card, tin, bent, cards, came, ripped, like",
Gift_Cards,3,314,"gift, card, gift card, amazon, cards, gift cards, use, credit, purchase, amazon gift",
Gift_Cards,4,177,"gift, card, cards, gift card, gift cards, value, 50, 25, 15, different",
Gift_Cards,5,209,"card, use, work, money, cards, use card, used, tried, activated, card did",
Gift_Cards,6,184,"reload, amazon, card, balance, 10, account, money, 100, credit, use",
Gift_Cards,7,163,"don, sure, use, old, know, like, new, better, la, bought",
Gift_Cards,8,245,"gift, card, gift card, received, message, birthday, sent, delivered, did, included",
Gift_Cards,9,156,"didn, bonus, 10, did, refund, got, order, money, account, mistake",
Pet_Supplies,0,202,"dog, work, did, product, dogs, didn, doesn, did work, puppy, water",
Pet_Supplies,1,281,"money, waste, waste money, work, don, just, buy, worth, product, don waste",
Pet_Supplies,2,145,"dogs, dog, like, eat, did, wouldn, didn, touch, doesn like, didn like",
Pet_Supplies,3,309,"just, bag, small, price, broken, like, product, arrived, returned, hard",
Pet_Supplies,4,221,"toy, dog, chewed, minutes, dogs, toys, chew, hour, durable, bone",
Pet_Supplies,5,197,"dog, food, treats, dogs, like, eat, doesn, good, puppy, doesn like",
Pet_Supplies,6,183,"small, dog, large, size, fit, big, dogs, harness, leash, collar",
Pet_Supplies,7,220,"dog, dogs, like, chew, chews, bones, hard, eat, treats, don",
Pet_Supplies,8,146,"food, cats, eat, cat, chicken, like, ingredients, product, won, cans",
Pet_Supplies,9,149,"cat, cats, litter, like, just, use, toy, hair, work, hard",
Grocery_and_Gourmet_Food,0,214,"product, coffee, use, like, good, bottle, time, date, tea, received",
Grocery_and_Gourmet_Food,1,234,"taste, salt, like, flavor, good, caramels, sea salt, sea, caramel, just",
Grocery_and_Gourmet_Food,2,317,"like, taste, money, buy, waste, product, flavor, waste money, recommend, disappointed",
Grocery_and_Gourmet_Food,3,298,"flavor, taste, like, tea, did, coffee, good, didn, taste like, flavors",
Grocery_and_Gourmet_Food,4,141,"hard, like, good, rock, hard rock, salt, just, mushy, dry, way",
Grocery_and_Gourmet_Food,5,157,"box, arrived, broken, smashed, product, received, came, open, damaged, return",
Grocery_and_Gourmet_Food,6,132,"sugar, corn, syrup, corn syrup, ingredients, like, good, sweet, eat, free",
Grocery_and_Gourmet_Food,7,142,"price, small, buy, money, expensive, worth, bag, overpriced, size, just",
Grocery_and_Gourmet_Food,8,202,"taste, like, awful, bad, gross, horrible, nasty, terrible, taste like, flavor",
Grocery_and_Gourmet_Food,9,211,"stale, candy, melted, disappointed, arrived, date, hard, order, fresh, cookies",
Arts_Crafts_and_Sewing,0,175,"missing, product, received, item, got, did, pieces, ordered, return, came",
Arts_Crafts_and_Sewing,1,292,"use, good, work, like, paper, resin, don, just, easy, doesn",
